Early BCE/CE,Late BCE/CE,Taxonomic ID,,Taxonomic ID Summary,Count,,Total,,Row Labels
-6200,-5500,Ovis sp.,,,,,,,
-6200,-5500,Capra sp.,,,,,,,
-6200,-5500,Bos sp.,,,,,,,
-6200,-5500,Ovis sp.,,,,,,,
-6200,-5500,Ovis sp.,,,,,,,
-6200,-5500,Bos sp.,,,,,,,
-6200,-5500,Ovis sp.,,,,,,,
-6200,-5500,Ovis/Capra,,,,,,,
-6200,-5500,Equus sp.,,,,,,,
-6200,-5500,Ovis sp.,,,,,,,
-6200,-5500,Ovis sp.,,,,,,,
-6200,-5500,Ovis/Capra,,,,,,,
-6200,-5500,Ovis/Capra,,,,,,,
-6200,-5500,Bos sp.,,,,,,,
-6200,-5500,Capra sp.,,,,,,,
-6200,-5500,Bos sp.,,,,,,,
-6200,-5500,Ovis/Capra,,,,,,,
-6200,-5500,Ovis/Capra,,,,,,,
-6200,-5500,large equid,,,,,,,
-6200,-5500,Bos sp.,,,,,,,
-6200,-5500,Ovis/Capra,,,,,,,
-6200,-5500,Bos sp.,,,,,,,
-6200,-5500,Bos sp.,,,,,,,
-6200,-5500,large equid,,,,,,,
-6200,-5500,Bos sp.,,,,,,,
-6200,-5500,Ovis/Capra,,,,,,,
-6200,-5500,Bos sp.,,,,,,,
-6200,-5500,Ovis/Capra,,,,,,,
-6200,-5500,Ovis sp.,,,,,,,
-6200,-5500,Bos sp.,,,,,,,
-6200,-5500,Capra sp.,,,,,,,
-6200,-5500,Ovis sp.,,,,,,,
-6200,-5500,Ovis sp.,,,,,,,
-6200,-5500,Ovis sp.,,,,,,,
-6200,-5500,Ovis/Capra,,,,,,,
-6200,-5500,Bos sp.,,,,,,,
-6200,-5500,Ovis/Capra,,,,,,,
-6200,-5500,Ovis/Capra,,,,,,,
-6200,-5500,Ovis/Capra,,,,,,,
-6200,-5500,small/medium equid,,,,,,,
-6200,-5500,Bos sp.,,,,,,,
-6200,-5500,Bos sp.,,,,,,,
-6200,-5500,large equid,,,,,,,
-6200,-5500,Ovis/Capra,,,,,,,
-6200,-5500,Capra sp.,,,,,,,
-6200,-5500,Capra sp.,,,,,,,
-6200,-5500,small/medium equid,,,,,,,
-6200,-5500,Ovis sp.,,,,,,,
-6200,-5500,small/medium equid,,,,,,,
-6200,-5500,Ovis sp.,,,,,,,
-6200,-5500,small/medium equid,,,,,,,
-6200,-5500,Ovis sp.,,,,,,,
-6200,-5500,Bos sp.,,,,,,,
-6200,-5500,Ovis sp.,,,,,,,
-6200,-5500,Bos sp.,,,,,,,
-6200,-5500,large equid,,,,,,,
-6200,-5500,Ovis sp.,,,,,,,
-6200,-5500,Bos sp.,,,,,,,
-6200,-5500,Ovis/Capra,,,,,,,
-6200,-5500,Capra sp.,,,,,,,
-6200,-5500,Ovis/Capra,,,,,,,
-6200,-5500,Ovis/Capra,,,,,,,
-6200,-5500,Bos sp.,,,,,,,
-6200,-5500,Capra sp.,,,,,,,
-6200,-5500,Capra sp.,,,,,,,
-6200,-5500,Ovis sp.,,,,,,,
-6200,-5500,Ovis/Capra,,,,,,,
-6200,-5500,Ovis sp.,,,,,,,
-6200,-5500,Ovis sp.,,,,,,,
-6200,-5500,Capra sp.,,,,,,,
-6200,-5500,Ovis sp.,,,,,,,
-6200,-5500,Ovis sp.,,,,,,,
-6200,-5500,Ovis sp.,,,,,,,
-6200,-5500,Capra sp.,,,,,,,
-6200,-5500,Ovis sp.,,,,,,,
-6200,-5500,Ovis sp.,,,,,,,
-6200,-5500,Ovis sp.,,,,,,,
-6200,-5500,Bos sp.,,,,,,,
-6200,-5500,Ovis sp.,,,,,,,
-6200,-5500,Ovis sp.,,,,,,,
-6200,-5500,Capra sp.,,,,,,,
-6200,-5500,Ovis sp.,,,,,,,
-6200,-5500,Ovis sp.,,,,,,,
-6200,-5500,Ovis sp.,,,,,,,
-6200,-5500,Ovis sp.,,,,,,,
-6200,-5500,Ovis sp.,,,,,,,
-6200,-5500,Ovis sp.,,,,,,,
-6200,-5500,Ovis sp.,,,,,,,
-6200,-5500,Ovis sp.,,,,,,,
-6200,-5500,Ovis sp.,,,,,,,
-6200,-5500,small/medium equid,,,,,,,
-6200,-5500,Bos sp.,,,,,,,
-6200,-5500,Ovis sp.,,,,,,,
-6200,-5500,Ovis sp.,,,,,,,
-6200,-5500,Ovis/Capra,,,,,,,
-6200,-5500,Ovis sp.,,,,,,,
-6200,-5500,small/medium equid,,,,,,,
-6200,-5500,small/medium equid,,,,,,,
-6200,-5500,Ovis/Capra,,,,,,,
-6200,-5500,Capra sp.,,,,,,,
-6200,-5500,Bos sp.,,,,,,,
-6200,-5500,Ovis sp.,,,,,,,
-6200,-5500,Ovis/Capra,,,,,,,
-6200,-5500,Ovis/Capra,,,,,,,
-6200,-5500,large equid,,,,,,,
-6200,-5500,small/medium equid,,,,,,,
-6200,-5500,Ovis/Capra,,,,,,,
-6200,-5500,Ovis/Capra,,,,,,,
-6200,-5500,Ovis/Capra,,,,,,,
-6200,-5500,Ovis/Capra,,,,,,,
-6200,-5500,large equid,,,,,,,
-6200,-5500,large equid,,,,,,,
-6200,-5500,Ovis sp.,,,,,,,
-6200,-5500,Ovis/Capra,,,,,,,
-6200,-5500,Ovis/Capra,,,,,,,
-6200,-5500,Ovis/Capra,,,,,,,
-6200,-5500,Bos sp.,,,,,,,
-6200,-5500,Bos sp.,,,,,,,
-6200,-5500,Ovis/Capra,,,,,,,
-6200,-5500,Bos sp.,,,,,,,
-6200,-5500,Ovis/Capra,,,,,,,
-6200,-5500,Ovis/Capra,,,,,,,
-6200,-5500,Ovis/Capra,,,,,,,
-6200,-5500,Bos sp.,,,,,,,
-6200,-5500,Bos sp.,,,,,,,
-6200,-5500,Bos sp.,,,,,,,
-6200,-5500,Ovis sp.,,,,,,,
-6200,-5500,Bos sp.,,,,,,,
-6200,-5500,large equid,,,,,,,
-6200,-5500,Ovis sp.,,,,,,,
-6200,-5500,Bos sp.,,,,,,,
-6200,-5500,Bos sp.,,,,,,,
-6200,-5500,Bos sp.,,,,,,,
-6200,-5500,small/medium equid,,,,,,,
-6200,-5500,Ovis/Capra,,,,,,,
-6200,-5500,Ovis/Capra,,,,,,,
-6200,-5500,small/medium equid,,,,,,,
-6200,-5500,Bos sp.,,,,,,,
-6200,-5500,Capra sp.,,,,,,,
-6200,-5500,large equid,,,,,,,
-6200,-5500,Ovis sp.,,,,,,,
-6200,-5500,Bos sp.,,,,,,,
-6200,-5500,Bos sp.,,,,,,,
-6200,-5500,Bos sp.,,,,,,,
-6200,-5500,Ovis sp.,,,,,,,
-6200,-5500,Bos sp.,,,,,,,
-6200,-5500,Capra sp.,,,,,,,
-6200,-5500,Ovis/Capra,,,,,,,
-6200,-5500,Capra sp.,,,,,,,
-6200,-5500,Ovis sp.,,,,,,,
-6200,-5500,Ovis sp.,,,,,,,
-6200,-5500,Ovis/Capra,,,,,,,
-6200,-5500,Bos sp.,,,,,,,
-6200,-5500,Ovis/Capra,,,,,,,
-6200,-5500,Ovis sp.,,,,,,,
-6200,-5500,Capra sp.,,,,,,,
-6200,-5500,large equid,,,,,,,
-6200,-5500,Bos sp.,,,,,,,
-6200,-5500,Bos sp.,,,,,,,
-6200,-5500,Ovis sp.,,,,,,,
-6200,-5500,Ovis sp.,,,,,,,
-6200,-5500,Bos sp.,,,,,,,
-6200,-5500,Bos sp.,,,,,,,
-6200,-5500,Bos sp.,,,,,,,
-6200,-5500,Sus scrofa,,,,,,,
-6200,-5500,Equus sp.,,,,,,,
-6200,-5500,Bos sp.,,,,,,,
-6200,-5500,Ovis sp.,,,,,,,
-6200,-5500,Ovis/Capra,,,,,,,
-6200,-5500,Ovis sp.,,,,,,,
-6200,-5500,Ovis sp.,,,,,,,
-6200,-5500,Ovis/Capra,,,,,,,
-6200,-5500,Ovis/Capra,,,,,,,
-6200,-5500,Ovis sp.,,,,,,,
-6200,-5500,Ovis/Capra,,,,,,,
-6200,-5500,Bos sp.,,,,,,,
-6200,-5500,Ovis/Capra,,,,,,,
-6200,-5500,Ovis sp.,,,,,,,
-6200,-5500,large equid,,,,,,,
-6200,-5500,Ovis/Capra,,,,,,,
-6200,-5500,Ovis/Capra,,,,,,,
-6200,-5500,Capra sp.,,,,,,,
-6200,-5500,Capra sp.,,,,,,,
-6200,-5500,Bos sp.,,,,,,,
-6200,-5500,Ovis sp.,,,,,,,
-6200,-5500,Ovis/Capra,,,,,,,
-6200,-5500,Ovis/Capra,,,,,,,
-6200,-5500,Ovis/Capra,,,,,,,
-6200,-5500,Ovis/Capra,,,,,,,
-6200,-5500,Ovis/Capra,,,,,,,
-6200,-5500,Bos sp.,,,,,,,
-6200,-5500,Ovis sp.,,,,,,,
-6200,-5500,Ovis sp.,,,,,,,
-6200,-5500,Ovis/Capra,,,,,,,
-6200,-5500,Ovis sp.,,,,,,,
-6200,-5500,Ovis sp.,,,,,,,
-6200,-5500,Ovis sp.,,,,,,,
-6200,-5500,Bos sp.,,,,,,,
-6200,-5500,Capra sp.,,,,,,,
-6200,-5500,Ovis sp.,,,,,,,
-6200,-5500,Ovis sp.,,,,,,,
-6200,-5500,Ovis/Capra,,,,,,,
-6200,-5500,small/medium equid,,,,,,,
-6200,-5500,Bos sp.,,,,,,,
-6200,-5500,Ovis sp.,,,,,,,
-6200,-5500,Bos sp.,,,,,,,
-6200,-5500,Capra sp.,,,,,,,
-6200,-5500,large equid,,,,,,,
-6200,-5500,large equid,,,,,,,
-6200,-5500,Ovis/Capra,,,,,,,
-6200,-5500,Ovis/Capra,,,,,,,
-6200,-5500,Bos sp.,,,,,,,
-6200,-5500,Ovis/Capra,,,,,,,
-6200,-5500,Ovis sp.,,,,,,,
-6200,-5500,Bos sp.,,,,,,,
-6200,-5500,Bos sp.,,,,,,,
-6200,-5500,Ovis sp.,,,,,,,
-6200,-5500,Capra sp.,,,,,,,
-6200,-5500,Ovis sp.,,,,,,,
-6200,-5500,Ovis sp.,,,,,,,
-6200,-5500,Ovis/Capra,,,,,,,
-6200,-5500,Ovis sp.,,,,,,,
-6200,-5500,Bos sp.,,,,,,,
-6200,-5500,Capra sp.,,,,,,,
-6200,-5500,Ovis/Capra,,,,,,,
-6200,-5500,Capra sp.,,,,,,,
-6200,-5500,small/medium equid,,,,,,,
-6200,-5500,Bos sp.,,,,,,,
-6200,-5500,Ovis sp.,,,,,,,
-6200,-5500,Equus sp.,,,,,,,
-6200,-5500,Sus scrofa,,,,,,,
-6200,-5500,Ovis/Capra,,,,,,,
-6200,-5500,Bos sp.,,,,,,,
-6200,-5500,Ovis/Capra,,,,,,,
-6200,-5500,Ovis sp.,,,,,,,
-6200,-5500,Bos sp.,,,,,,,
-6200,-5500,Ovis/Capra,,,,,,,
-6200,-5500,Ovis/Capra,,,,,,,
-6200,-5500,Bos sp.,,,,,,,
-6200,-5500,Ovis/Capra,,,,,,,
-6200,-5500,Capra sp.,,,,,,,
-6200,-5500,Capra sp.,,,,,,,
-6200,-5500,Bos sp.,,,,,,,
-6200,-5500,large equid,,,,,,,
-6200,-5500,Ovis/Capra,,,,,,,
-6200,-5500,Ovis/Capra,,,,,,,
-6200,-5500,Ovis sp.,,,,,,,
-6200,-5500,Bos sp.,,,,,,,
-6200,-5500,Ovis/Capra,,,,,,,
-6200,-5500,Bos sp.,,,,,,,
-6200,-5500,Ovis/Capra,,,,,,,
-6200,-5500,Ovis/Capra,,,,,,,
-6200,-5500,Ovis/Capra,,,,,,,
-6200,-5500,Ovis/Capra,,,,,,,
-6200,-5500,Ovis sp.,,,,,,,
-6200,-5500,Ovis sp.,,,,,,,
-6200,-5500,medium-sized canid,,,,,,,
-6200,-5500,Ovis sp.,,,,,,,
-6200,-5500,Ovis sp.,,,,,,,
-6200,-5500,Ovis/Capra,,,,,,,
-6200,-5500,Ovis/Capra,,,,,,,
-6200,-5500,large equid,,,,,,,
-6200,-5500,Bos sp.,,,,,,,
-6200,-5500,large equid,,,,,,,
-6200,-5500,Capra sp.,,,,,,,
-6200,-5500,Bos sp.,,,,,,,
-6200,-5500,Capra sp.,,,,,,,
-6200,-5500,Ovis sp.,,,,,,,
-6200,-5500,large equid,,,,,,,
-6200,-5500,Ovis/Capra,,,,,,,
-6200,-5500,Ovis/Capra,,,,,,,
